localsymbol,secType,symbol,expiry,right,multiplier,strike
SPY   141114C00130000,OPT,SPY,20141114,C,100,130
SPY   141114C00135000,OPT,SPY,20141114,C,100,135
SPY   141114C00140000,OPT,SPY,20141114,C,100,140
SPY   141114C00145000,OPT,SPY,20141114,C,100,145
SPY   141114C00150000,OPT,SPY,20141114,C,100,150
SPY   141114C00155000,OPT,SPY,20141114,C,100,155
SPY   141114C00160000,OPT,SPY,20141114,C,100,160
SPY   141114C00161000,OPT,SPY,20141114,C,100,161
SPY   141114C00162000,OPT,SPY,20141114,C,100,162
SPY   141114C00163000,OPT,SPY,20141114,C,100,163
SPY   141114C00164000,OPT,SPY,20141114,C,100,164
SPY   141114C00165000,OPT,SPY,20141114,C,100,165
SPY   141114C00166000,OPT,SPY,20141114,C,100,166
SPY   141114C00167000,OPT,SPY,20141114,C,100,167
SPY   141114C00168000,OPT,SPY,20141114,C,100,168
SPY   141114C00169000,OPT,SPY,20141114,C,100,169
SPY   141114C00170000,OPT,SPY,20141114,C,100,170
SPY   141114C00171000,OPT,SPY,20141114,C,100,171
SPY   141114C00172000,OPT,SPY,20141114,C,100,172
SPY   141114C00173000,OPT,SPY,20141114,C,100,173
SPY   141114C00174000,OPT,SPY,20141114,C,100,174
SPY   141114P00125000,OPT,SPY,20141114,P,100,125
SPY   141114P00130000,OPT,SPY,20141114,P,100,130
SPY   141114P00135000,OPT,SPY,20141114,P,100,135
SPY   141114P00140000,OPT,SPY,20141114,P,100,140
SPY   141114P00145000,OPT,SPY,20141114,P,100,145
SPY   141114P00150000,OPT,SPY,20141114,P,100,150
SPY   141114P00155000,OPT,SPY,20141114,P,100,155
SPY   141114P00160000,OPT,SPY,20141114,P,100,160
SPY   141114P00161000,OPT,SPY,20141114,P,100,161
SPY   141114P00162000,OPT,SPY,20141114,P,100,162
SPY   141114P00163000,OPT,SPY,20141114,P,100,163
SPY   141114P00164000,OPT,SPY,20141114,P,100,164
SPY   141114P00165000,OPT,SPY,20141114,P,100,165
SPY   141114P00166000,OPT,SPY,20141114,P,100,166
SPY   141114P00167000,OPT,SPY,20141114,P,100,167
SPY   141114P00168000,OPT,SPY,20141114,P,100,168
SPY   141114P00169000,OPT,SPY,20141114,P,100,169
SPY   141114P00170000,OPT,SPY,20141114,P,100,170
SPY   141114P00171000,OPT,SPY,20141114,P,100,171
SPY   141114P00172000,OPT,SPY,20141114,P,100,172
SPY   141114P00173000,OPT,SPY,20141114,P,100,173
SPY   141114P00174000,OPT,SPY,20141114,P,100,174
SPY   141114C00165500,OPT,SPY,20141114,C,100,165.5
SPY   141114C00166500,OPT,SPY,20141114,C,100,166.5
SPY   141114C00167500,OPT,SPY,20141114,C,100,167.5
SPY   141114C00168500,OPT,SPY,20141114,C,100,168.5
SPY   141114C00169500,OPT,SPY,20141114,C,100,169.5
SPY   141114C00170500,OPT,SPY,20141114,C,100,170.5
SPY   141114C00171500,OPT,SPY,20141114,C,100,171.5
SPY   141114C00172500,OPT,SPY,20141114,C,100,172.5
SPY   141114C00173500,OPT,SPY,20141114,C,100,173.5
SPY   141114C00174500,OPT,SPY,20141114,C,100,174.5
SPY   141114C00175500,OPT,SPY,20141114,C,100,175.5
SPY   141114C00176500,OPT,SPY,20141114,C,100,176.5
SPY   141114C00177500,OPT,SPY,20141114,C,100,177.5
SPY   141114C00178500,OPT,SPY,20141114,C,100,178.5
SPY   141114C00179500,OPT,SPY,20141114,C,100,179.5
SPY   141114C00180500,OPT,SPY,20141114,C,100,180.5
SPY   141114C00181500,OPT,SPY,20141114,C,100,181.5
SPY   141114C00182500,OPT,SPY,20141114,C,100,182.5
SPY   141114C00183500,OPT,SPY,20141114,C,100,183.5
SPY   141114C00184500,OPT,SPY,20141114,C,100,184.5
SPY   141114C00185500,OPT,SPY,20141114,C,100,185.5
SPY   141114C00186500,OPT,SPY,20141114,C,100,186.5
SPY   141114C00186000,OPT,SPY,20141114,C,100,186
SPY   141114P00165500,OPT,SPY,20141114,P,100,165.5
SPY   141114P00166500,OPT,SPY,20141114,P,100,166.5
SPY   141114P00167500,OPT,SPY,20141114,P,100,167.5
SPY   141114P00168500,OPT,SPY,20141114,P,100,168.5
SPY   141114P00169500,OPT,SPY,20141114,P,100,169.5
SPY   141114P00170500,OPT,SPY,20141114,P,100,170.5
SPY   141114P00171500,OPT,SPY,20141114,P,100,171.5
SPY   141114P00172500,OPT,SPY,20141114,P,100,172.5
SPY   141114P00173500,OPT,SPY,20141114,P,100,173.5
SPY   141114P00174500,OPT,SPY,20141114,P,100,174.5
SPY   141114P00175500,OPT,SPY,20141114,P,100,175.5
SPY   141114P00176500,OPT,SPY,20141114,P,100,176.5
SPY   141114P00177500,OPT,SPY,20141114,P,100,177.5
SPY   141114P00178500,OPT,SPY,20141114,P,100,178.5
SPY   141114P00179500,OPT,SPY,20141114,P,100,179.5
SPY   141114P00180500,OPT,SPY,20141114,P,100,180.5
SPY   141114P00181500,OPT,SPY,20141114,P,100,181.5
SPY   141114P00182500,OPT,SPY,20141114,P,100,182.5
SPY   141114P00183500,OPT,SPY,20141114,P,100,183.5
SPY   141114P00184500,OPT,SPY,20141114,P,100,184.5
SPY   141114P00185500,OPT,SPY,20141114,P,100,185.5
SPY   141114P00186500,OPT,SPY,20141114,P,100,186.5
SPY   141114P00186000,OPT,SPY,20141114,P,100,186
SPY7  141114C00177500,OPT,SPY,20141114,C,10,177.5
SPY7  141114C00180500,OPT,SPY,20141114,C,10,180.5
SPY7  141114C00180000,OPT,SPY,20141114,C,10,180
SPY7  141114C00181500,OPT,SPY,20141114,C,10,181.5
SPY7  141114C00181000,OPT,SPY,20141114,C,10,181
SPY7  141114C00182500,OPT,SPY,20141114,C,10,182.5
SPY7  141114C00182000,OPT,SPY,20141114,C,10,182
SPY7  141114C00183500,OPT,SPY,20141114,C,10,183.5
SPY7  141114C00183000,OPT,SPY,20141114,C,10,183
SPY7  141114C00184500,OPT,SPY,20141114,C,10,184.5
SPY7  141114C00184000,OPT,SPY,20141114,C,10,184
SPY7  141114C00185500,OPT,SPY,20141114,C,10,185.5
SPY7  141114C00186500,OPT,SPY,20141114,C,10,186.5
SPY7  141114C00186000,OPT,SPY,20141114,C,10,186
SPY7  141114P00177500,OPT,SPY,20141114,P,10,177.5
SPY7  141114P00180500,OPT,SPY,20141114,P,10,180.5
SPY7  141114P00180000,OPT,SPY,20141114,P,10,180
SPY7  141114P00181500,OPT,SPY,20141114,P,10,181.5
SPY7  141114P00181000,OPT,SPY,20141114,P,10,181
SPY7  141114P00182500,OPT,SPY,20141114,P,10,182.5
SPY7  141114P00182000,OPT,SPY,20141114,P,10,182
SPY7  141114P00183500,OPT,SPY,20141114,P,10,183.5
SPY7  141114P00183000,OPT,SPY,20141114,P,10,183
SPY7  141114P00184500,OPT,SPY,20141114,P,10,184.5
SPY7  141114P00184000,OPT,SPY,20141114,P,10,184
SPY7  141114P00185500,OPT,SPY,20141114,P,10,185.5
SPY7  141114P00186500,OPT,SPY,20141114,P,10,186.5
SPY7  141114P00186000,OPT,SPY,20141114,P,10,186
SPY   141114C00210500,OPT,SPY,20141114,C,100,210.5
SPY   141114C00211500,OPT,SPY,20141114,C,100,211.5
SPY   141114C00211000,OPT,SPY,20141114,C,100,211
SPY   141114C00255000,OPT,SPY,20141114,C,100,255
SPY   141114C00260000,OPT,SPY,20141114,C,100,260
SPY   141114P00210500,OPT,SPY,20141114,P,100,210.5
SPY   141114P00211500,OPT,SPY,20141114,P,100,211.5
SPY   141114P00211000,OPT,SPY,20141114,P,100,211
SPY   141114P00255000,OPT,SPY,20141114,P,100,255
SPY   141114P00260000,OPT,SPY,20141114,P,100,260
SPY7  141114C00205500,OPT,SPY,20141114,C,10,205.5
SPY7  141114C00206000,OPT,SPY,20141114,C,10,206
SPY7  141114C00207000,OPT,SPY,20141114,C,10,207
SPY7  141114C00208000,OPT,SPY,20141114,C,10,208
SPY7  141114C00209000,OPT,SPY,20141114,C,10,209
SPY7  141114C00255000,OPT,SPY,20141114,C,10,255
SPY7  141114C00260000,OPT,SPY,20141114,C,10,260
SPY7  141114P00205500,OPT,SPY,20141114,P,10,205.5
SPY7  141114P00206000,OPT,SPY,20141114,P,10,206
SPY7  141114P00207000,OPT,SPY,20141114,P,10,207
SPY7  141114P00208000,OPT,SPY,20141114,P,10,208
SPY7  141114P00209000,OPT,SPY,20141114,P,10,209
SPY7  141114P00255000,OPT,SPY,20141114,P,10,255
SPY7  141114P00260000,OPT,SPY,20141114,P,10,260
SPY   141114C00187500,OPT,SPY,20141114,C,100,187.5
SPY   141114C00187000,OPT,SPY,20141114,C,100,187
SPY   141114C00188500,OPT,SPY,20141114,C,100,188.5
SPY   141114C00188000,OPT,SPY,20141114,C,100,188
SPY   141114C00189500,OPT,SPY,20141114,C,100,189.5
SPY   141114C00189000,OPT,SPY,20141114,C,100,189
SPY   141114C00190500,OPT,SPY,20141114,C,100,190.5
SPY   141114C00190000,OPT,SPY,20141114,C,100,190
SPY   141114C00191500,OPT,SPY,20141114,C,100,191.5
SPY   141114C00191000,OPT,SPY,20141114,C,100,191
SPY   141114C00192500,OPT,SPY,20141114,C,100,192.5
SPY   141114C00192000,OPT,SPY,20141114,C,100,192
SPY   141114C00193500,OPT,SPY,20141114,C,100,193.5
SPY   141114C00193000,OPT,SPY,20141114,C,100,193
SPY   141114C00194500,OPT,SPY,20141114,C,100,194.5
SPY   141114C00194000,OPT,SPY,20141114,C,100,194
SPY   141114C00195500,OPT,SPY,20141114,C,100,195.5
SPY   141114C00195000,OPT,SPY,20141114,C,100,195
SPY   141114C00196500,OPT,SPY,20141114,C,100,196.5
SPY   141114C00196000,OPT,SPY,20141114,C,100,196
SPY   141114C00197500,OPT,SPY,20141114,C,100,197.5
SPY   141114C00197000,OPT,SPY,20141114,C,100,197
SPY   141114C00198500,OPT,SPY,20141114,C,100,198.5
SPY   141114C00198000,OPT,SPY,20141114,C,100,198
SPY   141114C00199500,OPT,SPY,20141114,C,100,199.5
SPY   141114C00199000,OPT,SPY,20141114,C,100,199
SPY   141114C00200500,OPT,SPY,20141114,C,100,200.5
SPY   141114C00200000,OPT,SPY,20141114,C,100,200
SPY   141114C00201500,OPT,SPY,20141114,C,100,201.5
SPY   141114C00201000,OPT,SPY,20141114,C,100,201
SPY   141114C00202500,OPT,SPY,20141114,C,100,202.5
SPY   141114C00202000,OPT,SPY,20141114,C,100,202
SPY   141114C00203500,OPT,SPY,20141114,C,100,203.5
SPY   141114C00203000,OPT,SPY,20141114,C,100,203
SPY   141114C00204500,OPT,SPY,20141114,C,100,204.5
SPY   141114C00204000,OPT,SPY,20141114,C,100,204
SPY   141114C00205500,OPT,SPY,20141114,C,100,205.5
SPY   141114C00205000,OPT,SPY,20141114,C,100,205
SPY   141114C00206500,OPT,SPY,20141114,C,100,206.5
SPY   141114C00206000,OPT,SPY,20141114,C,100,206
SPY   141114C00207500,OPT,SPY,20141114,C,100,207.5
SPY   141114C00207000,OPT,SPY,20141114,C,100,207
SPY   141114C00208500,OPT,SPY,20141114,C,100,208.5
SPY   141114C00208000,OPT,SPY,20141114,C,100,208
SPY   141114C00209500,OPT,SPY,20141114,C,100,209.5
SPY   141114C00209000,OPT,SPY,20141114,C,100,209
SPY   141114C00210000,OPT,SPY,20141114,C,100,210
